"Submission Date","Get Page URL","Are you ready to start the task?",time-left-floor-1,"Which room should be evacuated first on floor 1?","Which room should be evacuated second on floor 1?","Which room should be evacuated third on floor 1?","Which room should be evacuated fourth on floor 1?","Which room should be evacuated fifth on floor 1?",time-left-floor-2,"Check all the boxes which contain the opposite of ""Yes"" below.","Which room should be evacuated first on floor 2?","Which room should be evacuated second on floor 2?","Which room should be evacuated third on floor 2?","Which room should be evacuated fourth on floor 2?","Which room should be evacuated fifth on floor 2?",time-left-floor-3,"Which room should be evacuated first on floor 3?","Which room should be evacuated second on floor 3?","Which room should be evacuated third on floor 3?","Which room should be evacuated fourth on floor 3?","Which room should be evacuated fifth on floor 3?",time-left-floor-4,"Which room should be evacuated first on floor 4?","Which room should be evacuated second on floor 4?","Which room should be evacuated third on floor 4?","Which room should be evacuated fourth on floor 4?","Which room should be evacuated fifth on floor 4?"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=66658c37d09c8744714c8395&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5e19aa2ebcb846d5934f,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 5","Room 3","Room 2","Room 4","Room 1","Time remaining: 0:00","No
No","Room 5","Room 2","Room 3","Room 4","Room 1","Time remaining: 0:00","Room 5","Room 4","Room 2","Room 1","Room 3","Time remaining: 0:00","Room 2","Room 4","Room 5","Room 1","Room 3"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=6770a1397526d60bf1dab644&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5e1e69647fceb87674e9,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 2","Room 5","Room 4","Room 3","Room 1","Time remaining: 0:00","Yes
Yes","Room 2","Room 1","Room 3","Room 4","Room 5","Time remaining: 0:00","Room 4","Room 5","Room 1","Room 3","Room 2","Time remaining: 0:00","Room 5","Room 3","Room 1","Room 4","Room 2"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=5ec62e2f1de80c000cec6df7&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5dbc98f09d5cf45a8a59,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 5","Room 3","Room 2","Room 1","Room 4","Time remaining: 0:00","No
No","Room 5","Room 3","Room 2","Room 4","Room 1","Time remaining: 0:00","Room 5","Room 4","Room 2","Room 1","Room 3","Time remaining: 0:18","Room 2","Room 5","Room 4","Room 1","Room 3"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=6612cbedc5354f1f51af2ef4&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5e1dd2cec02ec87c18b1,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 3","Room 5","Room 2","Room 4","Room 1","Time remaining: 0:00","Yes
Yes","Room 5","Room 2","Room 1","Room 3","Room 4","Time remaining: 0:00","Room 2","Room 3","Room 1","Room 5","Room 4","Time remaining: 0:00","Room 2","Room 1","Room 4","Room 5","Room 3"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=678d732b3d1da7726486fb35&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5da1244af36281f72534,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 3","Room 5","Room 4","Room 2","Room 1","Time remaining: 0:00","No
No","Room 2","Room 2","Room 3","Room 5","Room 4","Time remaining: 0:00","Room 5","Room 1","Room 3","Room 4","Room 2","Time remaining: 0:50","Room 5","Room 1","Room 2","Room 4","Room 3"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=615ae38adcc6bf035701d512&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5e578a0a9c584065a56b,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 1","Room 5","Room 3","Room 2","Room 4","Time remaining: 0:00","Yes
Yes","Room 5","Room 2","Room 3","Room 4","Room 1","Time remaining: 0:00","Room 5","Room 2","Room 3","Room 1","Room 4","Time remaining: 0:00","Room 4","Room 5","Room 1","Room 3","Room 2"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=6153fbefd17cade93160d2e6&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5e66d245065d10e8a77a,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 5","Room 2","Room 1","Room 3","Room 4","Time remaining: 0:00","No
No","Room 4","Room 2","Room 3","Room 5","Room 1","Time remaining: 0:00","Room 5","Room 4","Room 1","Room 2","Room 3","Time remaining: 0:46","Room 3","Room 5","Room 4","Room 2","Room 1"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=6783fe0f59735a5d6389c752&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5dc0094f130ea7b43204,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 1","Room 5","Room 4","Room 2","Room 3","Time remaining: 0:27","No
No","Room 1","Room 2","Room 4","Room 5","Room 3","Time remaining: 0:57","Room 1","Room 2","Room 3","Room 5","Room 4","Time remaining: 1:14","Room 3","Room 2","Room 1","Room 5","Room 4"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=666467a90cd4b05baa302dc6&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5e5b094f130ea7b43231,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 3","Room 3","Room 5","Room 2","Room 1","Time remaining: 0:00","No
No","Room 2","Room 1","Room 4","Room 5","Room 3","Time remaining: 0:00","Room 2","Room 3","Room 1","Room 5","Room 4","Time remaining: 0:27","Room 2","Room 4","Room 1","Room 5","Room 3"
"Jan 21, 2025",https://form.jotform.com/250196397533363?PROLIFIC_PID=6697ecff25ee5f53c257ca44&STUDY_ID=678ebcdb9693124570e3a258&SESSION_ID=678f5e7b06b129a14bd7cc83,"I have read the instructions and am ready to start the task.","Time remaining: 0:00","Room 2","Room 3","Room 4","Room 5","Room 1","Time remaining: 0:00","No
No","Room 1","Room 2","Room 5","Room 4","Room 3","Time remaining: 0:00","Room 4","Room 5","Room 1","Room 3","Room 2","Time remaining: 0:17","Room 5","Room 1","Room 2","Room 4","Room 3"
